GA,Lowest,Q1,Avg.,Q3,Highest
326, -1275.2247, 261.06992, 772.1275, 1214.2053, 1846.925
327, -170.74297, 322.25342, 846.25635, 1262.1812, 1777.4081
328, -535.7656, 317.85367, 793.05664, 1230.6116, 1743.152
329, -1060.009, 313.57193, 783.4972, 1242.467, 1713.1453
330, -630.6111, 313.3809, 788.21295, 1233.2031, 1591.1398
331, -812.8846, 427.38806, 822.73096, 1203.6544, 1610.5963
332, -1159.8224, 296.8231, 769.9839, 1230.42, 1729.1154
333, -437.81094, 298.05725, 733.151, 1125.5858, 1634.5668
334, -372.9745, 460.85504, 831.408, 1184.7826, 1734.405
335, -758.17706, 282.2624, 746.01874, 1211.6206, 1654.0978
336, -737.24445, 307.53943, 751.1425, 1192.9572, 1797.3186
337, -477.97568, 315.8546, 692.2034, 1084.0983, 1618.4365
338, -649.498, 192.83328, 592.0342, 984.9269, 1632.1715
339, -353.34113, 215.63586, 598.2149, 949.6881, 1752.3251
340, -614.0239, 226.33154, 640.72, 1009.9779, 1504.6775
341, -160.314, 354.14786, 755.1778, 1055.108, 1798.1622
342, -346.14032, 258.07193, 717.1674, 1110.431, 1641.5438
343, -1231.494, 385.7893, 793.1099, 1178.5426, 1585.3701
344, -260.363, 417.5227, 831.2364, 1208.8485, 1682.6791
345, -514.4703, 616.1639, 933.4357, 1319.0446, 1808.7318
346, -700.5373, 345.3547, 796.93304, 1249.7155, 1796.4916
347, -169.34444, 393.5951, 859.38837, 1215.5557, 1702.0911
348, -290.76855, 280.7917, 756.9437, 1167.1754, 1774.1455
349, -429.093, 259.2631, 666.54236, 1106.931, 1558.2633
350, -780.8651, 265.27548, 698.819, 1097.5043, 1798.4252
351, -213.71173, 229.76343, 704.41705, 1151.2078, 1768.9435
352, -879.42804, 304.94592, 734.55444, 1177.6934, 1556.2333
353, -523.0419, 196.49957, 741.13116, 1196.2079, 1591.4287
354, -172.84953, 418.66162, 845.8945, 1230.2352, 1874.261
355, -902.4314, 424.2331, 883.8803, 1314.8762, 1719.7449
356, -552.73035, 276.794, 785.6487, 1203.5515, 1758.768
357, -300.91248, 467.62, 873.1819, 1207.3353, 1805.6572
358, -548.3052, 433.31696, 829.1047, 1191.988, 1655.6595
359, -1094.001, 400.8813, 867.58673, 1251.605, 1853.3846
360, -698.65436, 650.20087, 927.8524, 1246.8184, 1932.94
361, -506.33188, 382.59912, 885.15094, 1289.9313, 1676.3036
362, -1160.5676, 242.91202, 749.5082, 1182.4537, 1789.2521
363, -694.34283, 412.1883, 888.37427, 1317.6783, 1851.9359
364, -513.04034, 408.00403, 874.48694, 1275.574, 1986.3396
365, -365.64212, 494.85248, 912.85376, 1272.57, 1766.6952
366, -655.66394, 442.1764, 855.9764, 1300.9447, 1714.3541
367, -697.77527, 510.58105, 897.5296, 1313.8489, 1899.0247
368, -131.98613, 469.06525, 905.96173, 1298.1283, 1761.3802
369, -599.3638, 527.6581, 894.1071, 1312.1191, 1849.1426
370, -913.6999, 379.64926, 804.62744, 1259.1058, 1830.4247
371, -1191.9342, 368.41498, 881.87964, 1309.3926, 1901.1669
372, -431.35767, 331.0081, 791.9378, 1203.1631, 2023.8318
373, -325.31738, 351.7601, 804.1717, 1193.7462, 1836.1523
374, -218.71283, 458.873, 936.3555, 1389.7799, 1987.2512
375, -474.93433, 399.716, 918.8643, 1343.8695, 1876.9895
376, -1096.269, 372.5498, 854.682, 1290.3884, 1993.4868
377, -1117.4641, 283.59482, 838.59454, 1309.9028, 2023.5286
378, -1037.5195, 415.47223, 868.3122, 1327.1597, 1964.6665
379, -706.87225, 223.22025, 777.6283, 1356.1338, 2038.8608
380, -779.8657, 254.59897, 761.08545, 1213.9199, 1792.7382
381, -485.26282, 455.48688, 856.71857, 1314.3859, 1874.3779
382, -773.5615, 345.72986, 789.1093, 1228.7262, 1876.7294
383, -759.4535, 390.76062, 793.55804, 1200.2975, 1760.4172
384, -465.54483, 364.4314, 872.87213, 1306.443, 1802.4128
385, -943.34827, 399.69153, 774.6828, 1168.1042, 2027.9612
386, -301.7506, 320.97437, 819.4807, 1230.451, 1841.6807
387, -419.08948, 462.6524, 862.3995, 1283.4777, 1775.5641
388, -348.72247, 270.4318, 780.79205, 1228.4344, 1727.0284
389, -279.57474, 443.08105, 857.7427, 1236.6732, 1922.915
390, -401.21982, 395.5562, 837.5695, 1234.5106, 1711.2725
391, -166.19592, 465.9521, 911.4995, 1278.1514, 1719.1748
392, -274.0426, 390.1209, 852.4252, 1248.3317, 1681.7777
393, -142.84271, 376.51608, 857.43384, 1236.4359, 1752.9047
394, -594.26843, 597.03754, 908.82544, 1238.3573, 1548.1349
395, -411.71237, 555.8926, 936.9766, 1291.7554, 1907.9333
396, -267.96613, 590.53174, 953.4701, 1303.7937, 1670.3031
397, -242.23334, 425.54016, 908.58795, 1240.8613, 1856.5476
398, -348.14758, 513.5842, 946.3054, 1337.4357, 1694.0146
399, -531.4929, 677.0111, 901.12085, 1228.7406, 1780.826
400, -286.82745, 431.00787, 879.58545, 1277.8466, 1819.0687
401, -938.251, 387.24335, 826.1577, 1272.3492, 1744.5437
402, -593.9066, 623.73175, 961.71466, 1336.1521, 1834.66
403, -1257.8851, 449.9322, 824.1961, 1215.0557, 1709.4447
404, -421.8732, 333.0786, 810.89703, 1243.6064, 1860.704
405, -959.6297, 327.2522, 790.3725, 1170.3588, 1693.0637
406, -326.8708, 340.24707, 805.39954, 1235.9102, 1718.5433
407, -639.36707, 472.33972, 878.9009, 1299.3663, 1761.8561
408, -266.51013, 552.651, 897.4606, 1233.1018, 2044.8899
409, -315.8667, 308.99167, 833.34674, 1212.9834, 1945.9934
410, -1333.2646, 459.6576, 866.334, 1251.0809, 1742.7805
411, -26.0122, 389.81427, 905.79236, 1288.9277, 1871.1217
412, 47.441223, 577.93695, 938.75415, 1280.5527, 2005.98
413, -711.166, 548.34174, 953.53784, 1352.8258, 1755.8198
414, -208.10367, 540.3825, 937.577, 1313.2069, 2037.5393
415, -76.56694, 553.7568, 1000.60944, 1398.6354, 1809.377
416, -704.4976, 359.99188, 875.31213, 1277.9602, 2262.5083
